评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/6157313972,山谷幽兰V,女,广东,335,2155,714,广州黑人多，感染源难找,262,2021-05-21 18:29
https://weibo.cn//u/5684827224,·雾岛浍凛·,女,广东,8803,140,80278,本广州人相信一定可以挺过去的 做好防护,121,2021-05-21 18:33
https://weibo.cn//u/2210220415,Sharonfei,女,广东,6978,64,327,评论区积点口德吧，谁想感染呢？而且关于源头，没有官方证实的消息，还是别乱传了，这个家庭已经很惨了,118,2021-05-21 18:35
https://weibo.cn//u/3544284103,你的由美呀_,女,海外,88,81,713,大家做好防护，戴好口罩。还有就是 千万千万不要天河区有事情,1,2021-05-27 07:01
https://weibo.cn//112742003,61号啦啦啦,女,广东,3432,190,163,最近天气还好热,0,2021-05-26 18:22
https://weibo.cn//u/1773800945,非重要被窝探险家,女,广东,12,89,122,回复@Sharonfei:我觉得也是，好多人说确诊者到处走，可谁知道自己就密接或者确诊了,8,2021-05-26 17:02
https://weibo.cn//u/1712597800,赶豚鼠的蜗牛喵,女,四川,568,229,216,疫情防控不容松懈啊～,0,2021-05-26 16:25
https://weibo.cn//u/1866114962,那只小蕉蕉,男,广东,252,168,188,回复@山谷幽兰V:别为了黑而黑,0,2021-05-26 16:21
https://weibo.cn//u/5534211977,IwiiPhilomena,男,其他,4,49,3,离职,0,2021-05-26 16:08
https://weibo.cn//u/5678641473,秃头女孩陈,女,四川,6409,502,550,一定要做好防护，注意安全！,0,2021-05-26 15:06
https://weibo.cn//u/6004746654,Liling木子玲,女,四川,364,368,357,疫情尚未结束，做好防护，口罩戴好,1,2021-05-26 14:37
https://weibo.cn//u/1838222607,张星特biu,女,江苏,21717,318,3089, 大家一定注意安全,0,2021-05-26 12:48
https://weibo.cn//u/7407566072,欧气满满_31281,男,北京,41,24,2,回复@懿燊陈:比起孝子还是无脑喷子更可怕,0,2021-05-26 12:47
https://weibo.cn//u/3928106275,咲夜a_911,女,其他,28,36,1,怎么传染上的？不知道原因还会犯的,0,2021-05-26 12:32
https://weibo.cn//u/3720938887,橘子辉煌dvd,女,其他,431,225,8,祝平安🙏🙏🙏,0,2021-05-26 12:26
https://weibo.cn//qq673995194,JULIA-YANGST,女,广东,251,387,435,围观群众慌慌张张 广州人稳得一批 我们这有钟南山院士 也经历过03年非典,0,2021-05-26 12:24
https://weibo.cn//u/7556144525,逃离瑞典日记,男,其他,75,72,3,回复@Messi永远的神_:说得好像你不是沙d一样，照照镜子,2,2021-05-24 18:02
https://weibo.cn//u/6323724190,Messi永远的神_,男,广东,0,26,5,回复@逃离瑞典日记:东北人就是沙d,0,2021-05-24 17:03
https://weibo.cn//u/6323724190,Messi永远的神_,男,广东,0,26,5,回复@逃离瑞典日记:不就是你们东北人吗,0,2021-05-24 17:03
https://weibo.cn//u/5887299718,爱民如子花生米,男,其他,723,634,44,回复@Messi永远的神_:挑拨离间的就是你吧 贼喊捉贼,1,2021-05-24 12:16
https://weibo.cn//zoezoeloveletter,我是你的太阳雨呀,女,内蒙古,328,403,676,75高龄咯，恐怕熬不过，心痛不能打疫苗的宝宝老人孕妇。,0,2021-05-24 11:17
https://weibo.cn//u/5532253285,今生有你真好啊,男,辽宁,8474,680,165,回复@hui慧子--:@中国警方在线 @大连网警巡查执法 @中国互联网联合辟谣平台,1,2021-05-23 18:38
https://weibo.cn//u/7411863157,杰瑞今天有完成目标吗,男,广东,331,80,1,回复@山谷幽兰V:收皮啦on9,1,2021-05-23 07:23
https://weibo.cn//eileenzhong,司徒馨玥_布丁小天使,女,广东,880,296,163,回复@Qwf_:阿婆全家8口人，除了她本人都是多次核酸阴性，不信谣，不传谣,1,2021-05-22 14:54
https://weibo.cn//u/2495485412,一目秋水,女,广东,698,40,115,回复@誮語缄默:听说家里有人去辽宁～,0,2021-05-22 13:57
https://weibo.cn//u/7479078947,NaierHan,女,其他,2163,232,4,广州人民一定要保护好自己🙏🙏,0,2021-05-22 12:51
https://weibo.cn//u/7556144525,逃离瑞典日记,男,其他,75,72,3,回复@Messi永远的神_:总有一些没🐎地域黑喜欢挑拨离间，服了,0,2021-05-22 12:00
https://weibo.cn//u/7107070333,仰望月亮a,女,江苏,397,25,3,广东的朋友们要注意防护呀,0,2021-05-22 10:50
https://weibo.cn//u/6491454069,嘎嘣脆的叮叮糖,女,海外,52,187,27,🙏🙏🙏🙏🙏,0,2021-05-22 10:31
评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/6157313972,山谷幽兰V,女,广东,335,2155,714,广州黑人多，感染源难找,262,2021-05-21 18:29
https://weibo.cn//u/5684827224,·雾岛浍凛·,女,广东,8803,140,80278,本广州人相信一定可以挺过去的 做好防护,121,2021-05-21 18:33
https://weibo.cn//u/2210220415,Sharonfei,女,广东,6978,64,327,评论区积点口德吧，谁想感染呢？而且关于源头，没有官方证实的消息，还是别乱传了，这个家庭已经很惨了,118,2021-05-21 18:35
https://weibo.cn//u/3544284103,你的由美呀_,女,海外,88,81,713,大家做好防护，戴好口罩。还有就是 千万千万不要天河区有事情,1,2021-05-27 07:01
https://weibo.cn//112742003,61号啦啦啦,女,广东,3432,190,163,最近天气还好热,0,2021-05-26 18:22
https://weibo.cn//u/1773800945,非重要被窝探险家,女,广东,12,89,122,回复@Sharonfei:我觉得也是，好多人说确诊者到处走，可谁知道自己就密接或者确诊了,8,2021-05-26 17:02
https://weibo.cn//u/1712597800,赶豚鼠的蜗牛喵,女,四川,568,229,216,疫情防控不容松懈啊～,0,2021-05-26 16:25
https://weibo.cn//u/1866114962,那只小蕉蕉,男,广东,252,168,188,回复@山谷幽兰V:别为了黑而黑,0,2021-05-26 16:21
https://weibo.cn//u/5534211977,IwiiPhilomena,男,其他,4,49,3,离职,0,2021-05-26 16:08
https://weibo.cn//u/5678641473,秃头女孩陈,女,四川,6409,502,550,一定要做好防护，注意安全！,0,2021-05-26 15:06
https://weibo.cn//u/6004746654,Liling木子玲,女,四川,364,368,357,疫情尚未结束，做好防护，口罩戴好,1,2021-05-26 14:37
https://weibo.cn//u/1838222607,张星特biu,女,江苏,21717,318,3089, 大家一定注意安全,0,2021-05-26 12:48
https://weibo.cn//u/7407566072,欧气满满_31281,男,北京,41,24,2,回复@懿燊陈:比起孝子还是无脑喷子更可怕,0,2021-05-26 12:47
https://weibo.cn//u/3928106275,咲夜a_911,女,其他,28,36,1,怎么传染上的？不知道原因还会犯的,0,2021-05-26 12:32
https://weibo.cn//u/3720938887,橘子辉煌dvd,女,其他,431,225,8,祝平安🙏🙏🙏,0,2021-05-26 12:26
https://weibo.cn//qq673995194,JULIA-YANGST,女,广东,251,387,435,围观群众慌慌张张 广州人稳得一批 我们这有钟南山院士 也经历过03年非典,0,2021-05-26 12:24
https://weibo.cn//u/7556144525,逃离瑞典日记,男,其他,75,72,3,回复@Messi永远的神_:说得好像你不是沙d一样，照照镜子,2,2021-05-24 18:02
https://weibo.cn//u/6323724190,Messi永远的神_,男,广东,0,26,5,回复@逃离瑞典日记:东北人就是沙d,0,2021-05-24 17:03
https://weibo.cn//u/6323724190,Messi永远的神_,男,广东,0,26,5,回复@逃离瑞典日记:不就是你们东北人吗,0,2021-05-24 17:03
https://weibo.cn//u/5887299718,爱民如子花生米,男,其他,723,634,44,回复@Messi永远的神_:挑拨离间的就是你吧 贼喊捉贼,1,2021-05-24 12:16
https://weibo.cn//zoezoeloveletter,我是你的太阳雨呀,女,内蒙古,328,403,676,75高龄咯，恐怕熬不过，心痛不能打疫苗的宝宝老人孕妇。,0,2021-05-24 11:17
https://weibo.cn//u/5532253285,今生有你真好啊,男,辽宁,8474,680,165,回复@hui慧子--:@中国警方在线 @大连网警巡查执法 @中国互联网联合辟谣平台,1,2021-05-23 18:38
https://weibo.cn//u/7411863157,杰瑞今天有完成目标吗,男,广东,331,80,1,回复@山谷幽兰V:收皮啦on9,1,2021-05-23 07:23
https://weibo.cn//eileenzhong,司徒馨玥_布丁小天使,女,广东,880,296,163,回复@Qwf_:阿婆全家8口人，除了她本人都是多次核酸阴性，不信谣，不传谣,1,2021-05-22 14:54
https://weibo.cn//u/2495485412,一目秋水,女,广东,698,40,115,回复@誮語缄默:听说家里有人去辽宁～,0,2021-05-22 13:57
https://weibo.cn//u/7479078947,NaierHan,女,其他,2163,232,4,广州人民一定要保护好自己🙏🙏,0,2021-05-22 12:51
https://weibo.cn//u/7556144525,逃离瑞典日记,男,其他,75,72,3,回复@Messi永远的神_:总有一些没🐎地域黑喜欢挑拨离间，服了,0,2021-05-22 12:00
https://weibo.cn//u/7107070333,仰望月亮a,女,江苏,397,25,3,广东的朋友们要注意防护呀,0,2021-05-22 10:50
https://weibo.cn//u/6491454069,嘎嘣脆的叮叮糖,女,海外,52,187,27,🙏🙏🙏🙏🙏,0,2021-05-22 10:31
https://weibo.cn//u/7514614252,luuk1415,女,其他,822,123,2,回复@Gallop00:笑死 我就是广州本地人 身份证440102开头,0,2021-05-22 10:16
