评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/5676231174,-EliauK_x,女,广东,41,190,96,廣州的高三學生希望一切都會好起來,1450,2021-05-29 06:32
https://weibo.cn//thepoetzm,去吧海星星,男,广东,1611,885,14835,广州人民加油！,1414,2021-05-29 06:28
https://weibo.cn//u/1832239413,一个普通广州市民西柚,女,广东,15869,743,14209,以街为单位调的……哎，希望尽快控制🙏,563,2021-05-29 06:32
https://weibo.cn//vickitam628,不会低头的驴,女,广东,70,333,86,回复@没心没肺BCat:不在,0,2021-07-03 12:27
https://weibo.cn//u/3282623271,香芋芋圆圆圆,女,广东,203,79,73,广州加油,0,2021-06-02 23:51
https://weibo.cn//chanweicong,-The_CHAN-,男,广东,303,219,963,回复@Wonderfulpi:你知不知广州几大？ 人家全部24小时就全部安排核酸啦，佛山不够人还去支援啦，人家广州自己本身就自身难保，还要去支援？这说明什么啊？人家组织第三次核酸检测啦，一个社区三个点也不是假的啦？佛山这点都做不了，还说什么比得过广州？,0,2021-06-02 19:53
https://weibo.cn//u/1790211173,Wonderfulpi,男,广东,620,516,494,回复@-The_CHAN-:你知道佛山多大吗？不知道麻烦你百度一下。佛山早就在统筹了，非测核酸重点区域的学校社区早就做好验核酸的安排，随时等医护人员来。广州发现首例后第二天佛山的学校就通过教育线调查学生家长的出行轨迹了。这样执行力叫弱？你强的话你来做领导啦。不清楚就不要乱说好吗,0,2021-06-02 18:35
https://weibo.cn//lovehanaphy,小小bra的小小花,女,广东,647,107,73,现在变成高风险,0,2021-06-02 16:58
https://weibo.cn//u/7168049235,泥塑炖粉条,女,其他,470,37,5,我真的不想上班了🆘但是还是叫我们去上班🆘,0,2021-06-02 13:02
https://weibo.cn//u/6043782473,酸柠檬不加糖呦,女,福建,3421,405,99,广州加油！！,0,2021-06-01 21:50
https://weibo.cn//chanweicong,-The_CHAN-,男,广东,303,219,963,回复@Wonderfulpi:怎么？不是事实？,0,2021-06-01 09:12
https://weibo.cn//u/6602678303,余景天唯一老婆,女,广东,3015,366,281,加油加油,0,2021-06-01 08:58
https://weibo.cn//u/1790211173,Wonderfulpi,男,广东,620,516,494,回复@-The_CHAN-:？？？？？你住佛山吗？这都能带佛山？？？？？？？,0,2021-06-01 01:06
https://weibo.cn//u/5772046400,爸爸就想改个名字,女,广东,659,237,155,为什么黄埔的二中也要停课？？,0,2021-05-30 12:19
https://weibo.cn//u/5508851897,加加油油小李LuCkY,女,安徽,1377,669,229,回复@你的节操交给我来守护吧:需要核酸检测证明嘛？白云区也是嘛？,0,2021-05-30 10:55
https://weibo.cn//250cat,杀生丸子头犬夜叉烧包,女,广东,8827,1012,1016,回复@心安理得当咸鱼:天河不清楚，，东风路这边感觉一切如常,0,2021-05-30 10:47
https://weibo.cn//xuejingzhi,Ah-JING,女,江苏,474,630,2419,回复@小燕儿的尾巴:就平台申请退票就好了啊,0,2021-05-30 09:41
https://weibo.cn//u/2571575582,静静喜欢朦胧的梦,女,广东,10904,628,582,回复@Vickycccccccc:每个真正的中国人，都应该有正义之道,0,2021-05-30 09:40
https://weibo.cn//u/3820544820,小燕儿的尾巴,女,北京,72,90,80,回复@Ah-JING:你订的啥时候的啊，要怎么申请呢,0,2021-05-30 09:39
https://weibo.cn//u/6334967248,世上没童话,女,广东,115,48,274,回复@你的节操交给我来守护吧:人品问题,0,2021-05-30 09:32
https://weibo.cn//u/2284361982,你的节操交给我来守护吧,男,其他,2,38,147,回复@NINECHO还走着呢:没有疫苗打,0,2021-05-30 08:20
https://weibo.cn//u/2284361982,你的节操交给我来守护吧,男,其他,2,38,147,回复@加加油油小李LuCkY:黄埔一切正常，可以来,0,2021-05-30 08:15
https://weibo.cn//u/2284361982,你的节操交给我来守护吧,男,其他,2,38,147,回复@世上没童话:有你妈个头，预约系统都是瘫痪的,0,2021-05-30 08:05
https://weibo.cn//u/2284361982,你的节操交给我来守护吧,男,其他,2,38,147,回复@mike天天-:预约系统全部瘫痪，打你妈个头,0,2021-05-30 08:04
https://weibo.cn//u/2284361982,你的节操交给我来守护吧,男,其他,2,38,147,回复@小朙14159265358:本地人什么路线,0,2021-05-30 08:03
https://weibo.cn//u/2284361982,你的节操交给我来守护吧,男,其他,2,38,147,回复@KEQING_氪师傅:尼玛个头，昨天黄埔也有了,0,2021-05-30 08:02
https://weibo.cn//u/2284361982,你的节操交给我来守护吧,男,其他,2,38,147,回复@逃离陌上的软耳甜兔:预约系统全是瘫痪的，打尼玛个头,0,2021-05-30 08:01
https://weibo.cn//u/2814019961,淳离沫沫,女,广东,621,410,214,回复@淳离沫沫:只是想回来告诉你，我们今天又要再一次全员排查了。看到新闻了吗？不要把不知道当挡箭牌！,0,2021-05-30 05:34
https://weibo.cn//u/1987897211,顾小呆520,男,其他,3013,1410,31,加油,0,2021-05-30 05:30
https://weibo.cn//u/3265004845,Sdgbdgn,女,广东,145,129,113,深圳呢,0,2021-05-30 04:53
https://weibo.cn//u/6075723519,迷你胖肉丸,女,其他,6,430,29,回复@-EliauK_x:高考加油,0,2021-05-30 02:30
