评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/6208764113,男联社,男,广东,53,52,570,强烈要求延长隔离期！,6613,2021-05-30 16:35
https://weibo.cn//u/6347699593,慕飒34,男,其他,258,476,190,要抓紧溯源这个印度变异株从哪里来的啊,3524,2021-05-30 16:36
https://weibo.cn//qq958476857,裴浩正,男,海外,617,423,63063,有心了，写的印度发现的变异株，而不是印度株，小细节见大国,2388,2021-05-30 17:23
https://weibo.cn//678587178,JoeJohn,男,北京,28787,2519,87152,     举报             赞[0]         回复             07月06日 14:32 来自网页,0,2021-07-06 14:32
https://weibo.cn//u/6077687488,white鸽鸽子,女,广东,102912,8697,13943,//,0,2021-06-17 09:43
https://weibo.cn//u/6077687488,white鸽鸽子,女,广东,102912,8697,13943,//,0,2021-06-17 09:43
https://weibo.cn//u/6077687488,white鸽鸽子,女,广东,102912,8697,13943,//,0,2021-06-17 09:42
https://weibo.cn//u/7478344514,台湾岳云鹏,男,其他,13,72,12,回复@嘟嘟嘟嘟好可爱:就不隔离，就要回来，气死你,0,2021-06-13 22:04
https://weibo.cn//u/1822317421,嘟嘟嘟嘟好可爱,女,北京,176,205,105,回复@台湾岳云鹏:你要回你就隔离！不隔离炮跑回来干嘛！祸害！,0,2021-06-12 13:41
https://weibo.cn//u/5448500658,迷路小熊猫_,男,山东,103,121,135,回复@纳尔渣渣:也有人28天潜伏期，那要所有人隔离一个月根本就不实际，有些问题不是拆了东墙去补西墙去解决的,0,2021-06-08 12:26
https://weibo.cn//u/5448500658,迷路小熊猫_,男,山东,103,121,135,回复@飞灬扬61897888:如果你在国外要回来呢？你说得这么硬气，国家延长隔离时间了？,0,2021-06-08 12:24
https://weibo.cn//u/3791971757,YI_youngce,女,其他,13301,194,768,不要以为打了疫苗就没事了！！！广州这次是印度变异株！！！一定要做好防疫保护自己,0,2021-06-08 10:29
https://weibo.cn//lizuoyue,Little_Fat_LZY,男,海外,14,196,109,回复@jenny_xxy:他不是源头，你这么说是造谣。,0,2021-06-06 16:37
https://weibo.cn//u/5606533665,大壳LL,女,广东,1339,169,33,回复@细细勋vivi:公众号,0,2021-06-05 20:07
https://weibo.cn//mayrong,改了名字你还认得我不,女,广西,1077,484,879,回复@慕飒34:还换号骂人 果然职高狗就是素质低,0,2021-06-05 17:25
https://weibo.cn//mayrong,改了名字你还认得我不,女,广西,1077,484,879,回复@jenny_xxy:读职高的佛山狗果然是狗上狗 连话都看不懂难怪学历低,0,2021-06-05 09:43
https://weibo.cn//u/6480168368,桥沫闻本,女,其他,312,158,4,回复@我是偷国人:?,0,2021-06-05 06:56
https://weibo.cn//lilovejian,jenny_xxy,女,广东,53,135,1326,回复@改了名字你还认得我不:脸痛啥啊？关我p事啊，南宁佬,0,2021-06-05 01:22
https://weibo.cn//u/6234990411,不与舒适为伍v,男,广东,10,26,21,加油广州！,0,2021-06-04 11:21
https://weibo.cn//u/1101793361,Hcdsgjbfd,女,江苏,2994,618,167,回复@绝不学习:那是别的病菌,0,2021-06-04 08:12
https://weibo.cn//u/5590459899,木偶人RF,女,河南,296,91,74,回复@C_仮:那你是真没经历过一个人的隔离的时候，经济再发达，限制自由之身，天天呆在无阳光的环境里一个月或者更长时间，心里肯定好会产生变化。,0,2021-06-03 10:05
https://weibo.cn//u/2169207893,凉生happys,女,湖北,888,87,174,回复@new雨后阳光:56度以上才可以杀死，除非天上9个太阳☀️,0,2021-06-03 09:02
https://weibo.cn//u/6292672454,赶上琼斯家,男,安徽,107,276,64,回复@杨继鹏Yang:一个人最少一万多，增加隔离期，价格会涨，同时隔离酒店也会越来越多，你可以算算一天隔离的人有多少。隔离酒店不是越多越好，最近的病例不都和隔离酒店有关,0,2021-06-02 22:50
https://weibo.cn//u/3173253287,杨继鹏Yang,男,江西,15,104,101,回复@赶上琼斯家:一万很多？？传染了的话封城损失多少？,0,2021-06-02 22:06
https://weibo.cn//annwitch,白球鞋奶奶,女,广东,413,136,198,大家做好防护工作 加油,0,2021-06-02 18:49
https://weibo.cn//mayrong,改了名字你还认得我不,女,广西,1077,484,879,回复@慕飒34:是是是 造谣一张嘴辟谣跑断腿 说不过我就拉黑,0,2021-06-02 12:39
https://weibo.cn//u/2874832752,cC流霜_,女,广东,6165,1162,1092,回复@改了名字你还认得我不:,0,2021-06-02 12:35
https://weibo.cn//u/2434468130,李快乐111,女,广东,618,229,421,回复@赶上琼斯家:全部封闭隔离,0,2021-06-02 12:29
https://weibo.cn//u/6292672454,赶上琼斯家,男,安徽,107,276,64,回复@李快乐111:现在隔离不是一直是14+14吗…,0,2021-06-02 12:28
https://weibo.cn//u/2434468130,李快乐111,女,广东,618,229,421,回复@_盐盐盐_:就是，支持你,0,2021-06-02 12:25
https://weibo.cn//u/2434468130,李快乐111,女,广东,618,229,421,回复@赶上琼斯家:最基本的原因，选择回国要么就接受隔离14+14天；要不然就别回来，个人观点 勿喷。？！,0,2021-06-02 12:23
https://weibo.cn//u/6292672454,赶上琼斯家,男,安徽,107,276,64,回复@男联社:@盘铃声清脆帷幕间灯火葳蕤:呵呵，你没事瞎溜达跑回中国，反而带节奏不让后面为国家走出去的人回国。你说谁狭隘，说一大堆，你只看到狭隘两个字，你说谁狭隘？,0,2021-06-02 12:15
https://weibo.cn//u/5337408964,盘铃声清脆帷幕间灯火葳蕤,男,其他,58,84,1,回复@赶上琼斯家:我真是笑了 狭隘的不是您吗,0,2021-06-02 10:55
