评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/2957022857,豆包的小辣椒0828,女,海外,14688,320,301,深圳广州都给我挺住啊,3092,2021-05-30 20:23
https://weibo.cn//u/6735734253,一表人才傅公子,男,湖北,1509,225,17415,注意安全防护！！控制境外输入！！,1381,2021-05-30 20:22
https://weibo.cn//u/5676052021,夏花summer--柠檬,女,福建,1035,246,265,严防严控输入，辛苦了,831,2021-05-30 20:22
https://weibo.cn//u/6012764236,wmagd12,男,广东,1,161,41,回复@wmagd12:初中没毕业，哈哈,0,2021-07-19 21:28
https://weibo.cn//u/5462223617,牛头马面大姑娘,男,浙江,280,411,120,回复@wmagd12:啥学历,0,2021-07-18 14:17
https://weibo.cn//234760627,筱山纪信李,女,海外,47,437,1295,回复@Hanalx:好 刚刚才看到消息,0,2021-06-23 22:27
https://weibo.cn//zj580230,真璀璨之立青,女,广东,996,348,281,回复@任过年:哈哈哈哈我不在深圳呀,0,2021-06-12 22:57
https://weibo.cn//u/5340733498,守候在多伦多的愛,男,北京,776,626,97,回复@我心疼他:不好意思，我不是广东的，您这嘴不咋地，眼神还不好,0,2021-06-10 18:16
https://weibo.cn//u/6533290613,我心疼他,女,其他,233,144,28,回复@守候在多伦多的愛:跟你们广东猴子比差多了,0,2021-06-10 18:11
https://weibo.cn//u/5340733498,守候在多伦多的愛,男,北京,776,626,97,回复@我心疼他:你就挺牛的，挺能喷,0,2021-06-10 18:10
https://weibo.cn//u/6533290613,我心疼他,女,其他,233,144,28,回复@守候在多伦多的愛:说网络喷子谁有广东牛,0,2021-06-10 18:09
https://weibo.cn//u/5340733498,守候在多伦多的愛,男,北京,776,626,97,回复@我心疼他:你有逼数，你是最佳键盘侠，网络喷子,0,2021-06-10 17:46
https://weibo.cn//u/6533290613,我心疼他,女,其他,233,144,28,回复@守候在多伦多的愛:说啥，你们自己没有逼数吗,0,2021-06-10 17:43
https://weibo.cn//u/6533290613,我心疼他,女,其他,233,144,28,回复@守候在多伦多的愛:你们不管控对的起一线人员吗,0,2021-06-10 17:43
https://weibo.cn//u/3738369632,Ininanan-,女,湖北,484,156,258,回复@好想独居啊:啊！看到了！原来要看所有评论才可以看到！谢谢虎哥 爱你爱你😍,0,2021-06-06 13:55
https://weibo.cn//u/1763834064,-Zinsero,男,广东,9,263,506,回复@oohyoz:你要注意点，戴好口罩,0,2021-06-03 21:09
https://weibo.cn//u/2466933885,程安安bigbigsun,女,湖南,1027,456,152,回复@长不高了也别想长胖:,0,2021-06-03 08:48
https://weibo.cn//u/1894284007,lj也是GAME哥,男,广西,352,119,179,深圳加油，中国加油,0,2021-06-02 11:16
https://weibo.cn//u/5340733498,守候在多伦多的愛,男,北京,776,626,97,回复@我心疼他:所以您只能在网上彰显您的能力，把您派到一线可能啥也不是,0,2021-06-01 23:09
https://weibo.cn//u/5340733498,守候在多伦多的愛,男,北京,776,626,97,回复@我心疼他:辽宁那会儿我说啥了吗,0,2021-06-01 23:09
https://weibo.cn//u/6533290613,我心疼他,女,其他,233,144,28,回复@守候在多伦多的愛:如果管控好用一线的干嘛,0,2021-06-01 22:37
https://weibo.cn//u/6533290613,我心疼他,女,其他,233,144,28,回复@守候在多伦多的愛:好像辽宁的时候你们不是这么说的吗,0,2021-06-01 22:36
https://weibo.cn//u/5340733498,守候在多伦多的愛,男,北京,776,626,97,回复@我心疼他:别的地方累不累跟你说多的没多大关系，我只是想说一线人员面对疫情已经在积极防范，你别动不动就追责追责，大家都是为了国家好，都在付出。你去一线体验一次，然后有个别差错别人就上来追你的责，你怎么想请问,0,2021-06-01 21:05
https://weibo.cn//u/1785658332,救命起名字太难了889,男,辽宁,208,36,18,加油啊！,0,2021-06-01 20:11
https://weibo.cn//u/1785658332,救命起名字太难了889,男,辽宁,208,36,18,好可怕,0,2021-06-01 20:10
https://weibo.cn//u/5262441573,N_p九号球,男,吉林,4,128,39,所以去深圳的航班为什么不能全退呢，有疫情不想去也不行吗,0,2021-06-01 09:28
https://weibo.cn//u/3253820142,王越翔,男,安徽,606,100,619,大家平平安安健健康康,0,2021-06-01 06:23
https://weibo.cn//u/7613866347,llama小青蛙,男,海外,157,35,502,小心啊,0,2021-06-01 01:15
https://weibo.cn//u/5727662420,凝落云冰,女,河南,622,171,47,回复@落在眼睫的雪:,0,2021-05-31 23:57
https://weibo.cn//u/5736498953,落在眼睫的雪,女,河南,637,98,135,好可怕，疫情快点结束吧,0,2021-05-31 23:56
https://weibo.cn//xingfudejiajiahappy,幸福的佳佳happy,女,辽宁,850,432,159,回复@小女人2588371941:,0,2021-05-31 22:47
https://weibo.cn//u/3798732762,十一十一__,女,北京,50,394,73,回复@小小涵悦悦:没打啊，因为是有计划的要孩子，之前是备孕没打，怀孕更不可能去打了,0,2021-05-31 19:30
https://weibo.cn//u/5663512449,何处是笙箫,男,湖北,132,42,36,回复@专属李易峰的小女子:你这意思是不打疫苗，还比打疫苗强了，实在搞不清楚你的逻辑是什么。无论是钟南山说的，还是国内外的研究都表明，大规模疫苗接种可以有效形成群体免疫，降低重症的比例，阻断病毒的传播,0,2021-05-31 19:26
