评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/7518462784,Tenero_YiBo,女,河南,2148,475,14471,做好防护，不要大意,140,2021-05-26 08:49
https://weibo.cn//ChinaPediatrician,中国儿科医生,男,广东,6500,1392,577592,是这家人传给第一个感染阿婆？还是第一个感染的阿婆传给这家人的？是哪位从印度来的人把“印度型新冠”带到广州的？！还没追查出来就很危险！,112,2021-05-26 08:51
https://weibo.cn//u/6071003971,2018年12月18日,女,广东,1621,1186,64,这个茶楼旁边是一间接待境外输入例行隔离的酒店，在市中心?一达标出酒店的都在附近饮茶吃饭,94,2021-05-26 08:56
https://weibo.cn//u/1007859152,葡萄好大一颗,男,海外,4265,429,359,回复@人可如水温暖红尘2020:关键是很多机器就是需要欧洲技术人员啊,0,2021-05-31 00:01
https://weibo.cn//u/7592869088,forever天天开心,女,江西,1418,266,172,要注意好个人防护,0,2021-05-29 21:48
https://weibo.cn//u/7469096183,尘雨柳游,男,其他,157,5,12,有毒！为啥从国外回来的不郊区隔离。跑到市中心酒店隔离！有毒！,1,2021-05-27 10:54
https://weibo.cn//u/6423579281,outgoinggoing,女,海外,509,96,4,做好防护 加油,0,2021-05-27 09:38
https://weibo.cn//u/6084957912,linwasai,女,其他,0,30,4,现在荔湾区人口大聚集检验核酸  难道不会加重吗,0,2021-05-27 08:44
https://weibo.cn//u/5920283210,偷光你家大米,女,江苏,2662,247,433,回复@名字就要带芝士片:我暑假都不敢回去了,0,2021-05-27 07:44
https://weibo.cn//induim,一打蛋撻,女,海外,699,701,790,回复@粉粉霏:不好随便猜，等流调结果吧,0,2021-05-27 06:55
https://weibo.cn//u/1705144423,粉粉霏,女,河北,658,433,276,回复@一打蛋撻:是不是茶餐厅服务员先感染的，工作不戴口罩传染了客人呢,0,2021-05-27 06:46
https://weibo.cn//u/1977891841,文家三小姐,女,海外,3334,150,417,回复@2018年12月18日:那一大片都很快就安排了核酸检测，我公婆都已经测完第二次了。,0,2021-05-27 04:10
https://weibo.cn//u/5958191509,2302mmcaaa,女,河南,155,43,1,emmmm,0,2021-05-27 01:45
https://weibo.cn//u/7199787569,大碗宽粉0523,男,其他,859,742,8,注意防护,0,2021-05-27 00:37
https://weibo.cn//u/2403513583,神罗地爆0,男,广东,34591,1569,273,转发微博,0,2021-05-26 23:58
https://weibo.cn//u/7590997138,构子筑,女,其他,323,450,39,🙏,0,2021-05-26 23:54
https://weibo.cn//u/7574719671,养不起崽了,女,其他,52,19,2,     举报             赞[0]         回复             05月26日 23:32 来自网页,0,2021-05-26 23:32
https://weibo.cn//u/6459589205,本派不收憨批,女,其他,2862,304,130,愿平安！🙏🙏🙏,0,2021-05-26 23:26
https://weibo.cn//u/1312546220,思想者潘云亮,男,湖南,6295,110,3978,广州新增2确诊1例无症状。,0,2021-05-26 22:08
https://weibo.cn//u/1401110451,怕孤独小姐,女,广东,2926,187,648,回复@Lydia_哦哦哦:现在还是真的不要来了，全员核酸了要,0,2021-05-26 21:45
https://weibo.cn//u/3852420160,y521祎,女,云南,604,248,1362,希望疫情可以尽快消失,0,2021-05-26 18:46
https://weibo.cn//u/5847238464,闫先生的旺仔牛奶,女,广东,282,128,1254,回复@摸鱼是不可能摸的:没事没事～^ - ^,0,2021-05-26 17:29
https://weibo.cn//u/3384505932,帅哥简史,女,江苏,2372,131,780,回复@欧阳迟墨:恭喜恭喜，下班去吃点好的,0,2021-05-26 16:56
https://weibo.cn//u/1457849673,欧阳迟墨,男,北京,1244,160,240,回复@铁三:统一回复，我们是基层医院，工资分两部分，一部分是财政拨款，一部分是医院盈利。从去年年底到今年上半年，我们的工作重点除了全民采核酸，隔离点建立管理，还有就是疫苗接种。医疗业务相应的减少了。今年县里财政紧张，往年三月份的拨款一直拖到现在。顺便说一句，工资今天到账了。三个月的。,0,2021-05-26 16:56
https://weibo.cn//524789631,-GUYVER-,男,广东,3187,140,525,回复@深绿色微笑0o:戴口罩，感冒都都少了，我觉得挺好。哈哈哈哈,0,2021-05-26 16:54
https://weibo.cn//u/1457849673,欧阳迟墨,男,北京,1244,160,240,回复@帅哥简史:是的，我们是基层医院，工资分两部分，一部分是财政拨款，一部分是医院盈利。从去年年底到今年上半年，我们的工作重点除了全民采核酸，隔离点建立管理，还有就是疫苗接种。医疗业务相应的减少了。今年县里财政紧张，往年三月份的拨款一直拖到现在。顺便说一句，工资今天到账了。三个月的。,0,2021-05-26 16:53
https://weibo.cn//u/6064832083,Ken21490,男,其他,4,91,1,回复@是你大狗哥:阿公店茶店是色情场所,0,2021-05-26 15:39
https://weibo.cn//u/5683781270,情花珠儿,女,其他,204,221,36,这病毒什么时候才绝迹，没完没了了,0,2021-05-26 15:07
https://weibo.cn//u/6071003971,2018年12月18日,女,广东,1621,1187,65,回复@一打蛋撻:是啊，旁边还有几家茶楼，隔离合格出来换你也去吃吃喝喝,0,2021-05-26 15:05
https://weibo.cn//u/7209427560,搞A玩家,女,上海,9085,416,1088,防护好,0,2021-05-26 13:59
