评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//MZKILOVEYOU,北极熊不想流眼泪,女,河南,2201,251,324,希望疫情快快结束🙏🙏🙏,189,2021-05-28 17:55
https://weibo.cn//577995722,张小杰大太阳,女,广东,14174,227,1694,都带好口罩吧🙏求求不要再有新增了，天气这么热，医护人员都太辛苦了,172,2021-05-28 17:56
https://weibo.cn//u/7503709606,Mega何澳,女,广东,118,400,20,这次广州的病毒传染性特别强，很多病例仅仅是接触一小会儿就被传染上了。,113,2021-05-28 17:55
https://weibo.cn//u/1998383683,您的输入不存在,女,广东,3250,507,1279,回复@迷路的风雪里想你最暖:今天的报告，这个5号传染了一堆人,0,2021-06-04 01:18
https://weibo.cn//u/2403513583,神罗地爆0,男,广东,34591,1569,273,转发微博,0,2021-05-30 14:30
https://weibo.cn//u/2825465392,广州市亚运城,女,广东,112,8,2,都是无症状,0,2021-05-30 09:05
https://weibo.cn//u/6316738802,佛系吃瓜人一个,女,其他,1568,68,4,这些12看得我晕,0,2021-05-30 08:01
https://weibo.cn//u/5462583548,凍檸茶飛冰少少少糖,女,广东,4609,1053,182,今天的还没有公布？？还是没有？,0,2021-05-29 22:55
https://weibo.cn//u/7268613166,暴富不缺席,女,台湾,182,94,1,希望疫情早日结束,0,2021-05-29 18:17
https://weibo.cn//u/7567603843,并没有很傻的平纱,女,其他,81,136,3,高考完没法出去玩了……,0,2021-05-29 16:53
https://weibo.cn//u/5697821575,就是心忧炭贱愿天寒,女,广东,161,221,202,这个病例5不是任何人的密接，那是不是可以说明是社区传播开了？,0,2021-05-29 16:00
https://weibo.cn//u/7592917187,长眉老满,男,广东,144,33,1,请问，这些感染者打疫苗了没？什么时候打的？,0,2021-05-29 14:03
https://weibo.cn//u/1302192635,graciehuang,女,广东,3985,82,753,回复@迷路的风雪里想你最暖:,0,2021-05-29 11:42
https://weibo.cn//u/5583718586,迷路的风雪里想你最暖,女,广东,7090,304,151,回复@graciehuang:5号情况出来了，是咳嗽去医院检查排查出来的……,0,2021-05-29 11:41
https://weibo.cn//275577023,从邓超哥哥的世界路过,女,福建,99800,1169,523,核酸检测要拉开距离，否则一大帮人都挤在一起不怕传染吗,0,2021-05-29 11:16
https://weibo.cn//275577023,从邓超哥哥的世界路过,女,福建,99800,1169,523,戴口罩不聚集，再热也得戴着，特别是公交地铁和公共场所,0,2021-05-29 11:16
https://weibo.cn//u/7616115750,WWIsky201808,男,其他,718,112,16,防疫真的是个持久战,0,2021-05-29 10:42
https://weibo.cn//u/7503904082,一只边鹿,女,其他,0,29,2,希望疫情早点结束。,0,2021-05-29 10:37
https://weibo.cn//nanaaihenry,牛扎桃桃酥x,女,澳门,46,201,3665,回复@_胡大爷:主要是我也是广州去中山 周末就回广州这样 太难了。。。,0,2021-05-29 09:58
https://weibo.cn//u/1780047022,YUSASUSAKE,女,广东,7469,104,25,大家都要加油啊,0,2021-05-29 09:54
https://weibo.cn//fengbbbbbbb,_胡大爷,男,广东,2655,354,397,回复@牛扎桃桃酥x:估计每个地方政策不一样    成都那边说无论是路过广州还是广州上车还是居住广州   全部要都做了核酸才放行   其他地区我没体验,0,2021-05-29 09:52
https://weibo.cn//u/1977559384,Clairechansw,女,广东,97,328,616,回复@·全糖草莓星冰乐·:是密接啊 和郭某统一茶楼喝茶的宋某的孙子同学及其家长,0,2021-05-29 09:41
https://weibo.cn//jean1215355,不是宋代的黄庭坚Gene,男,广东,7443,445,626,同班同学。。。。,0,2021-05-29 09:38
https://weibo.cn//u/6128983987,关关的阮阮Yeah,女,河北,9005,70,2848,愿疫情早日结束,0,2021-05-29 09:16
https://weibo.cn//u/5596300518,只只子小朋友,女,福建,945,267,1197,请问明天要去番禹去2号回福建会被隔离吗,0,2021-05-29 08:59
https://weibo.cn//u/3898597741,张潇月97,女,云南,599,618,1037, 注意安全,0,2021-05-29 08:44
https://weibo.cn//u/7530136145,琳霖42698,男,其他,1985,58,623,注意防护,0,2021-05-29 07:27
https://weibo.cn//u/5859217226,静静和馨语,女,天津,12,39,1,回复@张小杰大太阳:打疫苗没,0,2021-05-29 02:48
https://weibo.cn//u/6395392543,屁桃大叔,女,天津,7605,563,88,做好防护，戴口罩🙏,0,2021-05-29 02:16
https://weibo.cn//u/2996331500,想成为一名文科生的理科生,女,其他,1314,227,258,@合成粒子漂浮_,0,2021-05-29 01:37
