评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/2605897644,hui慧子--,女,广东,37270,387,55291,只要你们一声广州加油，在广州的我们看到心里都很暖,202,2021-06-04 08:51
https://weibo.cn//u/6714136359,玲玲振玉,女,上海,5539,938,1607,广州加油！,74,2021-06-04 08:51
https://weibo.cn//zhongleizhang,尼奇窝窝,女,上海,4060,316,3724028,尽快切断传染链条，是当前抗疫的主要任务。,54,2021-06-04 08:51
https://weibo.cn//u/6131203935,Luh_Kelove,男,香港,360,207,78,广州加油,0,2021-06-09 19:05
https://weibo.cn//zouxingnan,宇宙无敌的开心果,女,湖南,2735,402,129,加油广州,0,2021-06-07 09:45
https://weibo.cn//u/5128581510,一直很安静boy,男,其他,1205,13,47,广州加油,0,2021-06-06 03:37
https://weibo.cn//u/1002599227,H_Tsai,女,其他,845,304,111,广州加油,0,2021-06-05 23:06
https://weibo.cn//xiaowu0604,小小小迷糊妈,女,广东,432,73,212,广州加油！我们一直和你们在一起！,0,2021-06-05 21:34
https://weibo.cn//u/6144095412,Juskyungh_zbyL,女,广东,19903,1531,294,     举报             赞[0]         回复             06月05日 21:11 来自网页,0,2021-06-05 21:11
https://weibo.cn//u/3602171875,碳烤茄紙,女,海外,941,728,202,加油,0,2021-06-05 18:06
https://weibo.cn//u/2642605790,迷路的小螃蟹QAQ,女,江西,1,22,53,广州加油！,0,2021-06-05 17:48
https://weibo.cn//u/2153474244,MUMU_2013,女,其他,2770,522,393,加油💪，我还要下广州找医生开药,0,2021-06-05 17:14
https://weibo.cn//u/5183246034,诞生贵族彡,女,湖北,1910,1680,334,唉 我侄子在那边  心急,0,2021-06-05 17:13
https://weibo.cn//u/7577619614,Nine_Yuki1,女,其他,721,39,2,广州加油加油加油加油加油💪,0,2021-06-05 16:24
https://weibo.cn//u/3877328830,VV慕容梦雪,女,甘肃,47960,82,113,广州加油,0,2021-06-05 14:59
https://weibo.cn//u/1450376191,小姐姐来迟了,女,广东,25602,201,192,广州加油,0,2021-06-05 10:45
https://weibo.cn//u/7587297988,舟舟--复始,女,宁夏,1235,166,3,广州加油！,0,2021-06-05 10:45
https://weibo.cn//starscity,星星城STARSCITY,男,广东,1124,880,398,广州一直都是英雄城市。广佛加油！,0,2021-06-05 09:16
https://weibo.cn//u/7269713880,旭亮1711,男,河北,26,39,31,广州加油！,0,2021-06-05 08:38
https://weibo.cn//u/6012165689,Echo亨亨,女,广东,686,148,47,广州加油,0,2021-06-05 07:06
https://weibo.cn//u/5870228684,疯笙韵轻,女,重庆,4496,312,115,加油！,0,2021-06-05 02:10
https://weibo.cn//u/5604137606,Xqian-ing多多,女,广东,40,90,33,泪目，加油广州,0,2021-06-05 01:24
https://weibo.cn//u/6180969073,南山尚相送,女,海外,937,256,76,广州加油💪,0,2021-06-05 01:17
https://weibo.cn//llS0,浴火西米,女,其他,319,280,666,加油！羊城。,0,2021-06-05 01:00
https://weibo.cn//u/6605519369,谁是一颗桃子,女,广东,520,130,741,广州加油💪,0,2021-06-04 23:49
https://weibo.cn//u/3931549371,小鸊鷉,女,广东,3907,503,200,希望我们早日切断传染链条！,0,2021-06-04 23:49
https://weibo.cn//u/6887477915,奶茶中最亮的仔Jacky,男,其他,180,90,54,广州加油！一定可以！！！,1,2021-06-04 23:45
https://weibo.cn//u/7551083866,施颖Julia,女,广东,23,17,0,中国加油！广州加油！深圳加油！相信我们的中国速度一定会在不久的明天将这些完犊子全部歼灭！！！一线的工作人员们都辛苦了     举报             赞[0]         回复             06月04日 23:28 来自网页,0,2021-06-04 23:28
https://weibo.cn//u/7551083866,施颖Julia,女,广东,23,17,1,祈祷广东尽快恢复正常生活,0,2021-06-04 23:21
https://weibo.cn//u/5252348619,kq丶WW,女,广东,898,560,123,广州加油💪 ,0,2021-06-04 23:11
