评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//208490789,小象大象家园,男,广东,5530,219,4045,广州加油！我已经走在前往广州南沙防疫抗疫路上！,112,2021-06-06 23:21
https://weibo.cn//u/2249872265,刘安娜小提琴的大备胎,女,广西,1115,522,1953,致敬最可爱的人，辛苦啦！广州加油,34,2021-06-06 23:18
https://weibo.cn//ashiwb,西施的珍宝,女,江苏,2603,271,1191,广州加油！医护人员辛苦了！,33,2021-06-06 23:27
https://weibo.cn//hdsm9000,总队6719,男,广东,1372,865,222,大热天穿防护服全身被汗水湿透，太令人敬佩,0,2021-06-13 15:13
https://weibo.cn//u/1655729360,皮皮蛋的微博,女,广东,1419,1058,639,致敬最可爱的人！广州加油！,0,2021-06-12 21:46
https://weibo.cn//u/7388922905,煜泥啵啵奶,女,其他,351,39,7,广州加油啊,0,2021-06-11 10:43
https://weibo.cn//u/5855984787,幸运的柚子77,女,福建,33,16,15,加油,0,2021-06-10 22:50
https://weibo.cn//u/5326637667,万语茜言wq,女,上海,7847,1071,986,广州加油！,0,2021-06-10 06:14
https://weibo.cn//u/6214888281,会拥有黎明,女,湖北,7,15,15,加油，辛苦你们了,0,2021-06-10 04:47
https://weibo.cn//u/6028231710,甄臻AOZLI,男,海外,1249,3865,155,     举报             赞[1]         回复             06月09日 13:43 来自网页,1,2021-06-09 13:43
https://weibo.cn//u/5856608972,共长龙弓,女,上海,937,125,125, ,0,2021-06-08 19:48
https://weibo.cn//u/7566036008,Excel编外妈咪,女,湖北,2630,494,277,回复@樱花树下的bubble:@人民日报,0,2021-06-08 11:19
https://weibo.cn//u/7566036008,Excel编外妈咪,女,湖北,2630,494,277,广州加油，武汉在你们身后,0,2021-06-08 11:19
https://weibo.cn//u/7566036008,Excel编外妈咪,女,湖北,2630,494,277,回复@小象大象家园:加油，辛苦了,0,2021-06-08 11:18
https://weibo.cn//u/7201906267,浅浅7201906267,女,广东,216,442,4,好听！麦子杰老师，邓志瞬俩位歌手动感的歌声！演绎着新时代的进步与变化和老广州旧情怀，寄语了厚厚的情感！ 疫情中歌声给予支持与鼓励！说一声医护人员你们辛苦了！广州加油！荔湾加油！ 等疫情过后就再去感受一下时光隧道！听着歌慢悠悠地游览着，手拍栏杆风细细！遥望江河桥梁美景！别有一番滋味！,1,2021-06-08 00:05
https://weibo.cn//u/5785663886,xilculb,男,广东,1,31,1, 看到防疫人员大热天的还穿着厚厚的防疫服，真心觉得心痛。尤其是广东这块，温度那么高，不热晕人才怪。这种防疫服一般都是在实验室，密闭空间内使用吧。就不能开发一款夏天版的吗,1,2021-06-07 23:37
https://weibo.cn//u/7201906267,浅浅7201906267,女,广东,216,442,4,回复@鄧志舜LouisTang:这首歌曲好好听，新时代的进步变化，老广州的旧情怀，两者之间都寄语了厚厚的深情！,0,2021-06-07 23:29
https://weibo.cn//u/7201906267,浅浅7201906267,女,广东,216,442,4,回复@小象大象家园:加油加油加油！给你点赞点赞点赞,0,2021-06-07 23:23
https://weibo.cn//u/7201906267,浅浅7201906267,女,广东,216,442,4,回复@小象大象家园:加油！我给你点赞点赞点赞,0,2021-06-07 23:22
https://weibo.cn//yellowpear1211,雪梨LilyW,女,广东,1830,783,727,加油广州,0,2021-06-07 23:01
https://weibo.cn//u/7448517474,奶油味的尼尼夹草莓酱,女,海外,158,27,2,广州加油,0,2021-06-07 22:25
https://weibo.cn//u/7377582539,小熊好香小汀昊绝,女,重庆,1502,304,165,加油加油加油,0,2021-06-07 20:02
https://weibo.cn//u/7335692190,心之所向隨遇而安2020,男,香港,651,300,417,向抗疫前線致敬🙏🙏廣州加油,0,2021-06-07 19:48
https://weibo.cn//u/7502847702,Hou和光同尘,女,其他,329,10,2,广州加油，致敬最可爱的医护工作者，你们是时代的英雄,1,2021-06-07 17:34
https://weibo.cn//u/6612228447,是白一捧啊,男,其他,9,46,3,回复@GD忒发啊:南通大学杏林学院突然发现我们这个学校转设的事情，学校没有争取学生家长的意见，先斩后奏，昨天同学们得知此事情还没来得及互相联系，就被学校有关领导约谈。我们都明事理的学生，学校转设是国家大势所趋我们理解，只是学校的做法令我们寒心。从普通本科就转设为职业本科，文凭就直接降了一个档次。,1,2021-06-07 17:22
https://weibo.cn//u/3983132921,穆穆看不到人,女,四川,1770,370,1302,广州加油,0,2021-06-07 16:36
https://weibo.cn//u/7312663432,小说搬运工西西,女,上海,7,29,1,加油,0,2021-06-07 16:15
