评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/2850679127,爱深过做人-,男,湖北,59,416,3144,身为武汉人看到这一幕真的太有感了，广州加油你们也一定可以的。,1715,2021-06-02 08:10
https://weibo.cn//u/2328487785,梅初月浅浅,女,上海,1047,111,1876,广州加油！愿疫情早日结束,1067,2021-06-02 08:01
https://weibo.cn//u/7443644636,多尔衮滚滚滚滚滚回来了,男,海外,340,262,180,广东作为出全国入境大窗口压力实在太大，挺住啊！,331,2021-06-02 08:01
https://weibo.cn//a08880888,安静岁月,女,上海,11503,96,187, ,0,2021-06-08 19:43
https://weibo.cn//illusion16,KrH肖莹,女,其他,566,683,288,回复@入云鱼-何健:,0,2021-06-07 23:46
https://weibo.cn//u/5743034588,唤千秋万代,女,四川,14855,707,2177,广州加油,0,2021-06-06 23:45
https://weibo.cn//u/1936914111,sochungfan,男,广东,1393,1163,231,回复@蓝雪夷---勿谈国事:闭嘴巴傻閪,0,2021-06-06 14:05
https://weibo.cn//u/3254850455,HX27,女,其他,122,32,22,去年在武汉，我也唱过,0,2021-06-05 21:21
https://weibo.cn//u/5999142145,塞中啦,男,北京,1019,66,30,好想念高中啊！一定可以的，高考加油！！,0,2021-06-05 08:01
https://weibo.cn//u/5927310717,王者骄纵萍香,女,其他,5876,1325,196,广州加油，争取早日开放,0,2021-06-04 20:01
https://weibo.cn//u/1922555191,奶花全靠浪,女,广东,11369,810,59,回复@蓝雪夷---勿谈国事:广东不属于大陆这是我第一次听说,0,2021-06-04 14:53
https://weibo.cn//u/3010867051,快请看我ID,女,江西,18598,212,1228,广州加油啊,0,2021-06-04 08:58
https://weibo.cn//u/7547968824,liaailliaa,女,湖北,1981,376,699,广州加油,0,2021-06-04 08:18
https://weibo.cn//u/1600752364,KATE_爽子,女,吉林,5364,750,201,广州一定能挺过去！！广州加油！！！,0,2021-06-04 07:51
https://weibo.cn//akss5768,俊勇就是JunYomg,男,广东,261,287,480,回复@江河潕汉:评论的脑子都挺好的，人家和和气气跟你讲道理，就这样对别人,0,2021-06-04 01:04
https://weibo.cn//akss5768,俊勇就是JunYomg,男,广东,261,287,480,想起之前新闻说飞沫的传播距离可以达到上百米，喊加油的时候还是戴上口罩吧,0,2021-06-04 01:03
https://weibo.cn//u/1647621251,chengaia,男,广东,153,46,79,加不加油是一回事，能不能保证食物供应,0,2021-06-03 17:50
https://weibo.cn//u/3548577064,Amu_鑫,女,其他,2190,63,514,广州加油加油加油,0,2021-06-03 15:19
https://weibo.cn//u/3137271187,JING大哈,女,广东,173,690,137,广州加油深圳加油💪,0,2021-06-03 10:21
https://weibo.cn//u/5105482522,华LHLH,女,辽宁,2918,381,125,广州加油！,0,2021-06-03 10:13
https://weibo.cn//u/1812650202,还是为了忘却的纪念,男,云南,264,379,340,满满的正能量…………,0,2021-06-03 09:08
https://weibo.cn//u/2896069790,橙子草莓冰激凌,男,江苏,728,294,253,加油,0,2021-06-03 08:50
https://weibo.cn//u/7430159198,笨笨2020的新家,女,广东,88,36,13,广州加油💪,0,2021-06-03 08:36
https://weibo.cn//u/3953425315,setsus,女,重庆,4088,185,387,加油！希望早日清零,0,2021-06-03 08:33
https://weibo.cn//u/7265823733,kimimarat在HP,男,上海,178,75,1,共同抗疫，战胜疫情，广州加油！,0,2021-06-03 08:16
https://weibo.cn//gdhzlw227,靓仔老黎,男,广东,31596,1801,1523,广州是坚强的广州，加油！//,0,2021-06-03 08:15
https://weibo.cn//u/1650734960,HSS哲,女,其他,647,491,484,哎,0,2021-06-03 08:00
https://weibo.cn//guangzloveq,光子的一些事一些情,男,广东,3094,331,672,回复@iivaiai:,0,2021-06-03 07:33
https://weibo.cn//u/6465393021,谦虚的仗剑高歌走天涯,男,陕西,13821,6048,2557,广州，加油,0,2021-06-03 06:40
