评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/6535861941,树下维恩,男,浙江,21,79,4557,广东太难了防本土 防境外输入,69,2021-06-02 13:52
https://weibo.cn//u/6417070066,一只西柚熊-YZXYX,女,广东,1835,633,1779,广东加油，大家注意防护,26,2021-06-02 13:50
https://weibo.cn//u/6522481188,言午士心弓口虫,男,天津,1444,28,11176,大家都平平安安，愿疫情早日结束 🙏,13,2021-06-02 13:55
https://weibo.cn//u/6373971893,大白熊的小企鹅W,女,其他,622,47,11,@Annie-熊,0,2021-06-08 22:21
https://weibo.cn//u/6470604944,MAIWR,男,北京,7,64,249,广东加油，减少出门，注意防护，愿平安,0,2021-06-06 00:20
https://weibo.cn//u/6232239457,我家九斤妹儿,女,重庆,6013,177,1045,广东加油,0,2021-06-05 14:22
https://weibo.cn//u/3551371117,凌寒遇梨涡,女,广东,1429,82,86,荔湾挺住,0,2021-06-05 09:00
https://weibo.cn//u/1931915793,Kolaliang,女,广东,3001,503,880,想问一下哪个地区是要求广州非疫情区域必须提供核酸报告才准入的吗？,0,2021-06-04 23:27
https://weibo.cn//u/6206985053,想着诗和远方的搬砖狗,男,其他,1747,83,24,封村了还偷跑出来，而且还不戴口罩到处乱跑那两夫妻最可恶，应该追究“它们”的刑事责任。,0,2021-06-04 17:23
https://weibo.cn//u/2403876014,余生君临不见,女,福建,29,43,155,深圳比佛山还多，居然不在上面？,0,2021-06-04 13:07
https://weibo.cn//u/6325505307,桑与轲,女,其他,30,10,1,注意防护,0,2021-06-04 08:40
https://weibo.cn//u/5386883497,睡睡生生梦梦死死,女,湖北,81,63,41,坐动车路过六安市会不会影响健康码？,0,2021-06-04 08:34
https://weibo.cn//u/2574636025,八两小月土,女,河南,600,608,592,回复@大兵兵兵吃小将:并没有还在顽强的地铁班车日日通勤中 虽然时不时要被普查核酸,0,2021-06-04 00:51
https://weibo.cn//u/6499732234,偷吃一头猪,女,海外,1496,362,236,注意防护！,0,2021-06-03 23:34
https://weibo.cn//u/2858473885,qq2013q,女,云南,17,508,34,每个家庭国家补贴几万？每个月消费等支出的负担？别说一堆空话什么加油！要降低数字，减油！,0,2021-06-03 23:04
https://weibo.cn//u/6325505307,桑与轲,女,其他,30,10,1,注意防护,0,2021-06-03 14:14
https://weibo.cn//u/6558497837,·澈澈鸭·,女,其他,243,512,130,广东加油！！一定要注意防护,0,2021-06-03 13:06
https://weibo.cn//u/2459189732,桥头堡摆渡人,男,新疆,806,435,1099,回复@一朝落暮一朝迟:全世界人口至少要打到80%,0,2021-06-03 11:19
https://weibo.cn//275577023,从邓超哥哥的世界路过,女,福建,99800,1169,523,广州太难了，好好隔离，早日康复,0,2021-06-03 11:19
https://weibo.cn//u/6893301402,奋斗16836,男,其他,4262,11,79,防疫艰巨！,0,2021-06-03 08:32
https://weibo.cn//u/6716364422,刚大木认真殴打威尼斯,男,河北,41,35,2,不传谣不造谣，疫区人民都有菜吃有肉吃,0,2021-06-03 08:24
https://weibo.cn//u/6128983987,关关的阮阮Yeah,女,河北,9005,70,2848,广州加油,0,2021-06-03 08:21
https://weibo.cn//u/6143070812,可可i西里吖,女,河南,27,49,12,加油加油 稳住！！！,0,2021-06-03 01:00
https://weibo.cn//u/5889295225,a-顾笙,女,其他,1137,88,1224,回复@勉强幸福-:打了一针,0,2021-06-03 00:16
https://weibo.cn//u/5357252856,Joeanla,男,其他,86652,20000,200,加油！,0,2021-06-03 00:14
https://weibo.cn//u/1865328042,monica嗯哼,女,广东,10126,196,474,我有个爆料。小区规定进出人员一律戴口罩。深圳罗湖区碧岭华庭小区保安却看脸放行，熟悉的业主可以不戴口罩，不熟悉的业主必须戴。业主对此质疑，被保安破口大骂，且业主去管理处投诉无果，要求调监控还原现场管理处百般推脱不给看。,4,2021-06-02 23:42
https://weibo.cn//u/3061327421,嘿怎么又在玩手机mew,女,其他,253,131,222,勤洗手！,0,2021-06-02 22:28
https://weibo.cn//u/5579596893,酒酿奶茶茶茶茶,女,其他,919,350,134,挺住啊！！,0,2021-06-02 22:22
https://weibo.cn//u/7553350984,去尼玛个大兄弟,男,北京,30,16,1,病毒请放过我炎黄子孙、华夏儿女吧！,0,2021-06-02 21:41
https://weibo.cn//u/2304866077,大兵兵兵吃小将,男,河南,35,155,87, 可以放假了？,0,2021-06-02 21:38
https://weibo.cn//u/5930701986,俊俊仙gj,男,重庆,42,24,1,加油,0,2021-06-02 21:26
