评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/2172801835,今天你笑了吗小小群,女,广东,42,159,938,感谢政府感谢祖国，让我们荔湾区西朗小区这边居家防疫人员能够领取免费的物质，真的太感动了，早上我妈去领都哭了，回来让我也一起哭,1199,2021-06-02 16:07
https://weibo.cn//u/1797015695,张雪雪可淡定,女,河南,510,426,207,为什么钟院士的眼睛都是肿的？因为抗疫，没时间休息吧，心疼！！！广州加油！,859,2021-06-02 16:11
https://weibo.cn//u/7283814091,浅笑6505,女,上海,919,215,66,钟院士的眼睛有些肿，是否最近太操劳了。请一定要多保重，注意休息～,457,2021-06-02 16:22
https://weibo.cn//u/5496118477,卡拉_2579,女,海外,46872,1513,1518,转发微博,0,2021-06-22 14:12
https://weibo.cn//u/2390927767,易x戈,女,广东,1520,641,150,回复@卓小悦宝宝:现在是停了好多天了,0,2021-06-14 13:03
https://weibo.cn//u/6100553186,臭宝的小捣蛋,女,其他,13,327,92,回复@易x戈:嘉禾院区停止门诊急诊服务了,0,2021-06-14 12:27
https://weibo.cn//u/6232239457,我家九斤妹儿,女,重庆,6013,177,1045,感谢国家，感谢钟院士,0,2021-06-04 18:52
https://weibo.cn//qianyuanqiye,ada_-_,女,广东,63,49,76,遵命,0,2021-06-04 14:30
https://weibo.cn//u/1655240934,小南昔,女,内蒙古,5772,651,167,钟老辛苦了，本颐养天年的年纪，奔赴在抗疫一线,0,2021-06-04 12:52
https://weibo.cn//u/5398477605,夜蔷薇1977,女,广西,28935,897,213,广州加油！！！,0,2021-06-04 11:45
https://weibo.cn//u/5904234929,SUPRA雪堡啤酒,男,广东,478,138,109434,积极配合，共克时艰！,0,2021-06-04 11:22
https://weibo.cn//u/7606141014,停云落月_Lhw,女,山东,1815,389,739,广州加油,0,2021-06-04 11:13
https://weibo.cn//u/2098341964,喵帕斯怕你跑了,女,海外,2077,822,1611,广东老铁加油！//,0,2021-06-04 10:37
https://weibo.cn//u/2111202663,鹏飞729,男,福建,193,163,337,谢谢你钟老,0,2021-06-04 10:26
https://weibo.cn//u/6271884816,明鹤更肥hh,女,吉林,10,102,30,加油，一定会战胜它的,0,2021-06-04 09:54
https://weibo.cn//52xiaomitao,我爱酒心朱古力,女,广东,36154,444,261,回复@奶花全靠浪:不止乐观～还低调识饮识食有人情味～我同学话大家都希望饮茶阿婆快点好，大家都想广州快点好然后去饮茶,0,2021-06-04 09:49
https://weibo.cn//u/5963986582,blue的一些事一些情,男,广东,293,123,43,广州加油,0,2021-06-04 09:00
https://weibo.cn//u/6722058153,鹰潭市交通街道综治专用,女,江西,7363,11,22,转发微博,0,2021-06-04 08:56
https://weibo.cn//u/2369686762,布達佩斯沒有橡皮鴨,女,广东,1570,771,806,廣東撐住！我們一起加油！[拳頭][拳頭][拳頭],0,2021-06-04 00:17
https://weibo.cn//u/7188260755,元宵圆圆圆圆,女,江苏,71,60,16,广州加油,0,2021-06-03 22:43
https://weibo.cn//cherrymier,米儿星球,女,江苏,1300,1121,699,广州加油,0,2021-06-03 22:08
https://weibo.cn//519137898,玄庄尼,男,广东,3800,68,683,打赢广东疫情防控的硬仗！,0,2021-06-03 21:51
https://weibo.cn//u/7272025010,GT不举铁,女,广东,140,54,1,加油加油！全民共同努力！钟爷爷保重身体！,1,2021-06-03 18:39
https://weibo.cn//u/7389629917,落星的小镇,男,广东,19,355,11,加油！,0,2021-06-03 17:01
https://weibo.cn//u/2698853591,双鱼座老曾,男,四川,499,404,107,广州加油💪,0,2021-06-03 16:00
https://weibo.cn//u/7286126259,泡泡堂000,男,四川,75,35,2,好,0,2021-06-03 14:26
https://weibo.cn//Lshanyr,skden,男,浙江,899,193,1156,回复@浅笑6505:被媒体打扰了 干啥都要播报,0,2021-06-03 14:14
https://weibo.cn//u/6558280674,孤d寒ye79071,男,其他,2,24,16,广州加油,0,2021-06-03 12:33
