评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/2460691574,小kde朋友,女,广东,1063,462,129,700多万份，验出29人，不容易啊，广州加油！,7225,2021-06-03 18:29
https://weibo.cn//u/3743531755,媛媛暴富吧,女,广东,5715,214,219,广州加油！！！,2276,2021-06-03 18:28
https://weibo.cn//u/2920088023,呆橘花胖子,男,北京,29470,137,657326,广州撑住！,1860,2021-06-03 18:28
https://weibo.cn//u/5462358102,最坏的好人or最好的壞人,男,江苏,397,54,23,回复@甜甜小辣椒ouo:我就是希望你们多了解点基层的实际情况…记者不报道，媒体不公布。你们也可以尝试着了解下，而不是坐在家里看官媒说什么。那一个个隔离服里面，都是活生生的人，他们也会疲惫，也有喜怒哀乐，也会有情绪…他们不是机器！,0,2021-06-30 12:58
https://weibo.cn//u/7224807413,大户人家商铺,男,湖北,23,5062,364,回复@我卖的狗不贵:其它国家 都是破罐子破摔 ，当做感冒,1,2021-06-25 07:00
https://weibo.cn//u/7224807413,大户人家商铺,男,湖北,23,5062,364,回复@卡卡龙的棒棒糖:我也觉得台湾最安全，病毒逃不出岛,0,2021-06-25 06:57
https://weibo.cn//u/5145628916,阿鲁巴巴爸爸,男,台湾,8,118,37,回复@Rancoincide:你说的有道理,0,2021-06-19 02:48
https://weibo.cn//u/5852227886,Rancoincide,女,其他,15,128,8,回复@阿鲁巴巴爸爸:还有，我男的，不是饭圈的，资料性别女不是代表我是妹子,0,2021-06-19 02:46
https://weibo.cn//u/5852227886,Rancoincide,女,其他,15,128,8,回复@阿鲁巴巴爸爸:还饭圈思想呢，招黑早就是这么玩的了,0,2021-06-19 02:45
https://weibo.cn//u/5145628916,阿鲁巴巴爸爸,男,台湾,8,118,37,回复@Rancoincide:我笑死，几你太美何德何能与现在这种呼声并列，你要是觉得烦，只能说你不够痛,0,2021-06-19 02:45
https://weibo.cn//u/5852227886,Rancoincide,女,其他,15,128,8,回复@阿鲁巴巴爸爸:,0,2021-06-19 02:44
https://weibo.cn//u/5852227886,Rancoincide,女,其他,15,128,8,回复@阿鲁巴巴爸爸:抗日可以喊，但是别啥玩意都喊抗日，更不要打砸同胞的日产车说是抗日。脱贫攻坚可以喊，处处喊脱贫攻坚大可不必，特别是捐钱的时候,0,2021-06-19 02:38
https://weibo.cn//u/5145628916,阿鲁巴巴爸爸,男,台湾,8,118,37,回复@Rancoincide:饭圈溢出来了哈，招黑思想,0,2021-06-19 02:36
https://weibo.cn//u/5145628916,阿鲁巴巴爸爸,男,台湾,8,118,37,回复@Rancoincide:阅读理解能力属实底下，典中典了属于是,0,2021-06-19 02:35
https://weibo.cn//u/5852227886,Rancoincide,女,其他,15,128,8,回复@阿鲁巴巴爸爸:,0,2021-06-19 02:33
https://weibo.cn//u/5852227886,Rancoincide,女,其他,15,128,8,回复@阿鲁巴巴爸爸:你脑子真是不够使，还是没看到那人说的什么,0,2021-06-19 02:32
https://weibo.cn//u/5852227886,Rancoincide,女,其他,15,128,8,回复@阿鲁巴巴爸爸:,0,2021-06-19 02:29
https://weibo.cn//u/5145628916,阿鲁巴巴爸爸,男,台湾,8,118,37,回复@Rancoincide:家访宁的狗窝发现宁真是一条贵物,0,2021-06-19 01:36
https://weibo.cn//u/5145628916,阿鲁巴巴爸爸,男,台湾,8,118,37,回复@Rancoincide:？收起你那套饭圈思维好么,0,2021-06-19 01:35
https://weibo.cn//u/5852227886,Rancoincide,女,其他,15,128,8,回复@阿鲁巴巴爸爸:大家提内卷是在反对内卷，但是处处说内卷就是在给反对内卷的群体抹黑,0,2021-06-18 20:29
https://weibo.cn//u/5852227886,Rancoincide,女,其他,15,128,8,回复@阿鲁巴巴爸爸:,0,2021-06-18 20:27
https://weibo.cn//u/3702883890,太平思齐,男,北京,7519,199,136,好好注意一下卫生吧 平时各方面要都能规规矩矩的 肯定没坏处,0,2021-06-08 13:03
https://weibo.cn//u/5271692239,达咩起司七,女,广东,193,484,78,疫情快快消退吧～,0,2021-06-06 21:36
https://weibo.cn//u/2840631500,兜里有糖送给你,男,广东,12,71,24,回复@晨曦liy:有点难，毕竟有“潜伏期”，有的发病早，有的发病晚。,0,2021-06-06 19:03
https://weibo.cn//u/2403513583,神罗地爆0,男,广东,34591,1569,273,🙏🙏🙏,0,2021-06-06 18:34
https://weibo.cn//u/5999730887,马克思考人生,女,广东,951,237,48,救救....,0,2021-06-06 11:42
https://weibo.cn//u/6939724833,胖儿胖儿又想偷吃鸡腿,女,其他,40,46,1,广州加油,0,2021-06-05 22:41
https://weibo.cn//u/5087438262,桃桃桃子哇哈哈,女,广东,1090,1256,210,回复@walkouttaheretonight:系罗。各种人身攻击。,0,2021-06-05 22:26
https://weibo.cn//u/3057902975,walkouttaheretonight,女,其他,190,82,41,回复@桃桃桃子哇哈哈:佢自己都好似人格分裂咁,0,2021-06-05 19:51
https://weibo.cn//u/1801557037,Dur_ing,女,其他,4955,518,762,回复@桃桃桃子哇哈哈:怪不得来骂我好端端那么久的微博还来列数据，搞了半天顺着别人回复的话来找我的。那个人自己说错话都撤回了，不敢让我回复直接把人拉黑我只能举报。一类人，丢脸。满脑子烧腊。,0,2021-06-05 17:26
