评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/1681145290,Shirley空城难入,女,辽宁,396,72,1152,检测人员辛苦了，无法想象高温中全副武装,280,2021-06-03 23:34
https://weibo.cn//u/5770721041,专属小可爱上线了,女,贵州,330,245,106700,致敬每一位逆行者,116,2021-06-03 23:35
https://weibo.cn//u/7086804710,快跑欻欻欻,男,海外,4811,390,98,凝心聚力，我们可以💪🏻,104,2021-06-03 23:33
https://weibo.cn//CHD48,我心面向天仙,男,上海,9251,298,376,"为构筑全民免疫力防疫抗疫保护圈，促进经济复苏发展，保障人民生命健康，维护国家安全发展，避免财政税收社会投入浪费，建议出台相关规定,除特殊人群外，明确不接种防疫疫苗者，感染新冠肺炎等传染疾病，所有医疗费用由个人自理，医疗保险不再报销救助，并承担其全部接触者隔离相关费用。",0,2021-07-17 08:34
https://weibo.cn//u/2554791913,L-林樱怡,女,广东,583,66,73,致敬，所有逆行者,0,2021-06-22 00:37
https://weibo.cn//u/1804841623,小賀説道,男,江苏,15675,17451,3673,🇨🇳致敬每一位逆行者,0,2021-06-18 23:33
https://weibo.cn//u/7309166110,迪迪熊Zzz,女,其他,350,43,7, 青春是用来用来努力的，你应该用这样的时光做你想做的事情，变成你想变成的人。致敬英雄们！,0,2021-06-13 12:58
https://weibo.cn//u/7564469578,Ki味的茶饼,女,广东,92,164,21,致敬,0,2021-06-09 17:42
https://weibo.cn//u/6538691237,黑仔达ex,男,其他,17,48,19,     举报             赞[0]         回复             06月08日 13:00 来自网页,0,2021-06-08 13:00
https://weibo.cn//u/5455566772,辉辉的琪琪,女,重庆,8,10,3,向每一位逆行者致敬！广州加油！我们一定会胜利！,0,2021-06-08 11:34
https://weibo.cn//u/6629468675,等校水灵灵爽,男,湖南,2666,332,1045,加油,0,2021-06-06 23:12
https://weibo.cn//u/6335595517,子淡81,男,其他,1,33,2,致敬,0,2021-06-06 22:30
https://weibo.cn//u/1847056974,小食客v,女,广东,12852,990,283,回复@C-_-C钵仔糕:我想看视频版的这个,0,2021-06-06 18:35
https://weibo.cn//u/6484089761,平行时空778,女,江西,8,88,13,致敬城市逆行者,0,2021-06-05 22:54
https://weibo.cn//wangyuhong248,洁忠面馆,男,上海,483,447,246,广州挺住！ 同志们不容易啊！,0,2021-06-05 20:30
https://weibo.cn//u/7429853714,·纪时年,男,其他,261,126,223,我们会胜利的！,0,2021-06-05 20:20
https://weibo.cn//u/6432649997,疏影尚风流1999,女,四川,3703,613,127,致敬逆行者，加油！,0,2021-06-05 14:12
https://weibo.cn//mspiglet,练就玩了,女,广东,989,322,160,永远跟党走！,1,2021-06-05 12:25
https://weibo.cn//u/5870228684,疯笙韵轻,女,重庆,4496,312,115,致敬！,0,2021-06-05 11:32
https://weibo.cn//u/2287867574,啡添小女警,女,湖北,162,72,10115,致敬,0,2021-06-05 10:48
https://weibo.cn//u/5604327606,雞脖男孩,男,吉林,0,37,8,回复@Tina1230:,0,2021-06-05 10:09
https://weibo.cn//u/7539224317,好好学习kxl,女,北京,14142,33,1125,     举报             赞[0]         回复             06月05日 09:58 来自网页,0,2021-06-05 09:58
https://weibo.cn//u/7408464539,G_ood_enough,女,海外,286,45,9,党旗一出，就一个要赢了,0,2021-06-05 07:33
https://weibo.cn//u/6320309030,柠檬小丸子哇o,女,安徽,168,463,60,致敬,0,2021-06-05 07:26
https://weibo.cn//u/7557941009,冰淇淋在怀里-,女,重庆,354,101,5,致敬逆行者！我们一定要做的就是不断的努力。,0,2021-06-05 07:24
https://weibo.cn//u/3307523345,土豆泥拌薯条oOoooo,女,广东,32,177,168,奶瓶宝宝事件你看到了吗，我的老天爷，救救孩子，,0,2021-06-05 02:48
https://weibo.cn//u/7426282805,达拉崩吧_激光中,女,其他,1409,277,182,向逆行者致敬！,0,2021-06-04 22:39
https://weibo.cn//u/6349741226,Boli晴朗Juzi辉煌,男,其他,11963,64,25,向您们致敬,0,2021-06-04 21:39
https://weibo.cn//u/5538117694,爱生活爱自己oon,女,贵州,995,439,304,真是辛苦了,0,2021-06-04 21:35
https://weibo.cn//wink5610,巧克力泡菜饼Pretty,女,海外,2835,444,311,致敬英雄！,0,2021-06-04 20:38
