评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/6469645291,麦卡里还有课,男,其他,0,63,53,拜托各位，如果去过重点区域的，麻烦做好核酸检测，减少走动，不要再出现第二个南沙夫妇了，害人害己。,1089,2021-06-08 07:07
https://weibo.cn//liusuilai,凡口老留,男,广东,21676,2831,196631,南沙夫妇坑人不浅了。上有老下有小，竟然还敢瞒报，把爸妈孩子都感染了，一家人整整齐齐。    那为什么这老兄只是无症状，他爸爸直接被定性为确诊呢？因为他爸爸两天前就出现症状，还去买了药吃。这他妈可是印度变种病毒，传染性无敌，擦肩而过吃个饭就能感染的超强病毒！,854,2021-06-08 07:29
https://weibo.cn//u/5775137010,白boss家的朱,女,广东,1151,190,568,已经在家呆了十天了，今天做第四次核酸检测，荔湾区加油💪广州加油💪,191,2021-06-08 07:19
https://weibo.cn//u/7309784088,不可燃但易爆炸,女,其他,219,48,5,回复@Quincy-QQ:当初警方通报出来前，有人说男的是去找小三。然后我上面说的是，官方出通报，是两夫妻吃饭，不是男的跟小三吃饭，所以不要再说找小三了。然后你上来就跟我说是两夫妻瞒报。从头到尾我没有否认他俩瞒报，我只是想说，找小三是谣言不要再传这个了。我的重点是不要传谣，不知道你能理解吗,0,2021-07-02 21:48
https://weibo.cn//duanlingge,Quincy-QQ,女,北京,1873,677,634,回复@不可燃但易爆炸:你也看清楚，我从来没说他跟小三吃饭，你一直在跟我说小三问题，我也是匪夷所思。,0,2021-07-02 21:34
https://weibo.cn//u/7309784088,不可燃但易爆炸,女,其他,219,48,5,回复@Quincy-QQ:我知道是瞒报，我的意思是那段时间有人传那男的找小三。找小三这点是谣传，不是瞒报是谣传，看清楚ok？,0,2021-07-02 21:09
https://weibo.cn//duanlingge,Quincy-QQ,女,北京,1873,677,634,回复@吴江江江江江江吴:你自己搜广州南沙公安看看，就是瞒报了，我也没说跟不跟小三吃饭，我只说他们就是瞒报了，公安都实锤了，你还在这里跟我吵个啥，要不是他们瞒报了，广州疫情起码可以早结束10天。,0,2021-07-02 15:11
https://weibo.cn//duanlingge,Quincy-QQ,女,北京,1873,677,634,回复@不可燃但易爆炸:别搞笑了，就是瞒报了，广州公安都实锤了，我也没说跟小三吃饭，但是他们夫妻二人就是瞒报了，觉得自己没问题，所以社区检查各种检查的时候都没说。,0,2021-07-02 15:05
https://weibo.cn//u/3754248864,遇贝小儿推拿蜜贴,女,广东,31,50,14,仔细看了，都没去过。,1,2021-06-11 09:23
https://weibo.cn//u/3754248864,遇贝小儿推拿蜜贴,女,广东,31,50,14,回复@凡口老留:还不清楚是怎么回事，又看到另外一份报道说不是这样，也有去做筛查了。到底怎样也没见权威报道说这个。,0,2021-06-11 09:18
