评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/5968033954,Jaeminov,男,海外,1784,845,1139,额这都什么情况了还隐瞒…好不负责啊,647,2021-06-08 11:28
https://weibo.cn//u/5843531187,我要操死我自己,男,海外,3002,136,152967,真的不知道这种刻意隐瞒的什么心理 人家医护人员顶着大太阳穿着防护服工作那么久 都白费了,420,2021-06-08 11:28
https://weibo.cn//u/7220521015,-酊糕-,女,重庆,553,153,11,一定要公开，也要考虑别人的安全,110,2021-06-08 11:28
https://weibo.cn//hkingcow,Hiking_cow,男,广东,1083,293,176,有没有人知道祝某经营的农庄叫什么名字？我们以后见到都绕道走！,0,2021-06-17 22:25
https://weibo.cn//u/1908936552,海上鬼,男,其他,9302,358,685,还有那对夫妇，还在狡辩，不过已经被立案调查了,0,2021-06-12 10:29
https://weibo.cn//u/2488022411,我叫前排兵,男,其他,1800,419,963,看望父母顺便，我脑补了一个没有脱发闷骚的中年人影响。,0,2021-06-12 07:23
https://weibo.cn//u/6426077389,小米59110,男,其他,5,98,26,想问一下大家，火车站中转算不算旅居史啊,0,2021-06-11 16:17
https://weibo.cn//u/5357252856,Joeanla,男,其他,86652,20000,200,共同努力,0,2021-06-11 04:06
https://weibo.cn//u/7305350986,巴哈姆特的头颅,男,其他,9,67,6,回复@凯_A_:七大姑八大姨有疏漏可能，子女不可能疏漏，只能是老人没讲,0,2021-06-10 14:36
https://weibo.cn//tdzc2015,田东之窗,男,广西,3336,8,104,【,0,2021-06-10 10:12
https://weibo.cn//612394023,唐廷军_368,男,广东,1,73,38,这个事有点诡异，1、他父母为什么不说与儿子接触过，首先流调的不应该是他父母吗，那他父母也要负很大责任2、都因为发热去就医了，难道当时没有测核酸吗，还是测了没测出来，都发烧了还测不出来？,1,2021-06-10 09:22
https://weibo.cn//316877710,湘里妹子-,女,广东,35508,745,35161,【,0,2021-06-10 08:52
https://weibo.cn//u/1752216402,Mi桔梗ss,女,广东,539,177,125,我不明白的是父母都确诊了，身为密切的子女居然没有被要求送去隔离，有点解释不通吧,0,2021-06-10 07:22
https://weibo.cn//u/1606440395,吃了个小火锅,男,广东,138,80,49,判个两三年,0,2021-06-09 18:52
https://weibo.cn//u/5354773607,再喝西北风就剁手的葱白,女,广东,868,66,126,回复@村里吠吠47399:这个辟谣了,0,2021-06-09 18:49
https://weibo.cn//u/3574689015,梁良130,男,广东,122,85,27,从重从严处理就对了,0,2021-06-09 17:22
https://weibo.cn//u/5806665164,蓝清归,女,安徽,602,247,151,这真的是既对自己不负责也对他人不负责,0,2021-06-09 16:01
https://weibo.cn//u/7460730111,不忘初辛198312,女,北京,213,82,3,我就想不通，为什么要隐瞒呢？怕的是什么呢？,0,2021-06-09 14:33
https://weibo.cn//ellieman,ElliePallas,女,广东,11440,218,1202,回复@焉寒寒:这个是番禺区的，你说的小三故事出自黄埔区，而且已经辟谣了，那是假的,0,2021-06-09 14:28
https://weibo.cn//u/5396232773,TheWorldAwaitsTheDragon,男,海外,32531,351,193,回复@要与爸爸一样坚强的小颖:刚刚看到新闻辟谣了,0,2021-06-09 12:28
https://weibo.cn//zqn2010,睿成入户,男,广东,385,570,338,广州是一个包容，开放，自成一派的城市。来了！您就是广州人。,0,2021-06-09 11:13
https://weibo.cn//u/6450854500,rainbow180,男,江苏,2472,133,30,判刑,0,2021-06-09 10:27
https://weibo.cn//u/2841247894,君子不如籣,女,广东,1576,122,182,刑拘得好！,0,2021-06-09 09:46
https://weibo.cn//u/1776880991,闫维文歌迷会紫星爱闫帅,女,陕西,1064,277,359,对这种人一定要严惩😡,0,2021-06-09 09:43
https://weibo.cn//u/1855822272,okimholyshit,男,福建,88,421,1918,回复@晴岚熊升树:关系在这，先延缓处理,0,2021-06-09 09:38
https://weibo.cn//u/1855822272,okimholyshit,男,福建,88,421,1918,这个罪名，虽然第一次听，但是无论如何，大快人心,0,2021-06-09 09:37
https://weibo.cn//u/2272423410,苗冯强媳妇儿,女,山西,17646,6543,2338,//,0,2021-06-09 09:24
https://weibo.cn//u/1282325703,天涯_醉酒,男,广东,12563,907,2064,严惩不贷！,0,2021-06-09 08:56
