评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/6441562826,四川话推广大使,女,海南,5816,649,206,真的辛苦了，谢谢你们,83,2021-06-14 13:24
https://weibo.cn//u/5709793454,情长不过时光care·,女,湖南,1603,666,13078,感谢有你们，希望疫情早日结束，广州加油,58,2021-06-14 13:26
https://weibo.cn//u/1856281403,骄傲的卷卷卷心菜,女,福建,3963,711,587,辛苦啦，端午安康,39,2021-06-14 13:24
https://weibo.cn//u/1093952161,蒲江县发改局,男,四川,74242,183,1390,【,0,2021-06-16 16:50
https://weibo.cn//u/2610150174,柳暗花明6878,女,广东,5583,80,154,致敬,0,2021-06-16 15:53
https://weibo.cn//u/2956041847,6D的阿三,女,重庆,7077,639,182,感谢所有医护人员 辛苦啦 向你们致敬 祖国的骄傲,0,2021-06-15 17:40
https://weibo.cn//u/7058213054,HUANG海角,男,广东,29,5,4,那么热的天，看着这些医护穿着那么厚的防护服，好心疼,0,2021-06-15 13:48
https://weibo.cn//u/1093952161,蒲江县发改局,男,四川,74242,183,1390,【,0,2021-06-15 13:42
https://weibo.cn//u/5798428676,菜农干了花匠的活,男,浙江,335,127,83,愿疫情早退，家国平安,0,2021-06-15 12:38
https://weibo.cn//u/6469714488,关公门前舔大刀,男,广西,496,103,569,希望这一轮过后，医护人员能得一个休整假期。,0,2021-06-15 11:59
https://weibo.cn//u/7490308801,嗯嗯5457,女,河北,66,22,1,致敬,0,2021-06-15 09:00
https://weibo.cn//u/5861253339,桃小小0503,女,山东,5746,4272,52,太好了,0,2021-06-15 08:25
https://weibo.cn//u/2848094081,明月当空下的小魔兽,女,广东,34270,2367,1815,感谢有你们的守护，辛苦了,0,2021-06-15 07:40
https://weibo.cn//u/6511519966,鹏飞赏析,男,青海,3669,246,291,抗疫必胜,0,2021-06-15 07:36
https://weibo.cn//u/7030630427,徐紫茵_Roada海外站,女,北京,20,17,1103,辛苦医护人员们了，广州加油！,0,2021-06-15 02:19
https://weibo.cn//u/6128983987,关关的阮阮Yeah,女,河北,9005,70,2848,广州加油,0,2021-06-15 00:07
https://weibo.cn//shaotingting666,邵婷婷小仙女,女,湖北,11157,10763,10833,关注防疫动态，广州加油加油,0,2021-06-14 23:47
https://weibo.cn//u/6891400919,宾雨婷,女,湖南,2,24,2,辛苦你们了,1,2021-06-14 23:34
https://weibo.cn//wbpicclife,中国人保寿险,男,北京,3378,237,21820,端午安康,0,2021-06-14 22:53
https://weibo.cn//u/1202507744,0川贝枇杷羔0,女,其他,60,1099,76,从一线工作人员到基层干部，大家都很辛苦，希望多点理解。,0,2021-06-14 22:28
https://weibo.cn//u/5176829270,惊世的颜,女,天津,213,427,11,唉 这个时代的英雄,0,2021-06-14 22:27
https://weibo.cn//u/2736744967,小小小讌子,女,广东,108,309,467,辛苦了,0,2021-06-14 22:17
https://weibo.cn//u/2563168205,OK果丹皮,女,河北,103,30,7,感谢你们啊，这么热的天气，注意防暑,0,2021-06-14 21:52
https://weibo.cn//u/7373110602,方方方方彤彤,女,湖北,20,118,2,辛苦你们了,0,2021-06-14 21:48
https://weibo.cn//u/2630106751,五根儿茶渍改,女,北京,1190,183,17,希望多发一些补助吧…………,0,2021-06-14 21:43
https://weibo.cn//339788867,幸福执行力,男,安徽,30029,4902,3213,哦哦哦哦,0,2021-06-14 21:32
https://weibo.cn//234793858,喜欢有狗有花的每一天,男,其他,7111,143,37,医护辛苦了，这个是南沙不肯承认瞒报的张姓夫妇的小区，不查清楚对不起辛苦付出有家不能归的医护人员,0,2021-06-14 21:20
