评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/5124986261,宇宙柯学探险员,女,其他,729,371,57,这人怕不是有病。。。。,12031,2021-06-17 18:26
https://weibo.cn//u/7385444866,小雨发光照亮铁头,女,海外,48,660,7508,判个10年,6265,2021-06-17 18:27
https://weibo.cn//u/7028507519,各位同学,男,其他,621,228,1790,等于危害公共安全,4778,2021-06-17 18:26
https://weibo.cn//martincgj,Martinmtc,男,广东,664,438,2126,广州荔湾区政府的防疫工作令人极其失望，请上级政府为老百姓主持公道，严肃彻查失职失责人员！！！,0,2021-06-26 11:23
https://weibo.cn//u/6372119222,芳龄68呀,女,河南,1,232,22,这个我第一眼看成祝福的祝了 哈哈,0,2021-06-20 21:47
https://weibo.cn//u/7516162592,烟火集市,女,其他,342,169,92, ,0,2021-06-20 20:11
https://weibo.cn//u/3947738335,等会姜子牙呀,男,其他,870,83,643,计算一下为此付出的人力物力，经济损失。得坐牢。,0,2021-06-20 19:45
https://weibo.cn//u/7360476801,万世功过与谁说,男,其他,0,45,5,回复@邪爽妹:阿这…位不是女人生出来的吧？难道你从男性的…里出生的,1,2021-06-20 19:17
https://weibo.cn//u/5750699913,不胖28斤不改名字,男,广东,61,329,22,回复@柒喵喵w:判个十年也不过分吧,0,2021-06-20 12:47
https://weibo.cn//u/1682473707,ms_lose,男,广东,173,634,371,南沙的那一家6口呢？？？,0,2021-06-19 22:58
https://weibo.cn//u/7243030834,遗忘小陈,女,其他,6,44,4,奇葩天天有,0,2021-06-19 22:35
https://weibo.cn//u/1303463727,歌家小胡椒,女,江苏,6111,884,947,别治让他自己死,0,2021-06-19 17:03
https://weibo.cn//tinism,tin哪些年一些事,女,广东,511,311,237,妈呀这人。。。,0,2021-06-19 16:28
https://weibo.cn//u/7423971293,LYJ99126,男,其他,29,20,2,回复@宇宙柯学探险员:就是有病啊，不仅有新冠，还有很大的心理疾病！存在报复社会的心理,0,2021-06-19 11:37
https://weibo.cn//313479992,花狗仔P_Z,女,广东,3,159,456,回复@2021__都会好起来吧:这样啊，我以为去吃饭的,0,2021-06-19 10:15
https://weibo.cn//u/5157742830,大家好-我是逗逼,女,四川,174,108,111,回复@我的脆脆鲨呢_:又坏又蠢,0,2021-06-19 00:31
https://weibo.cn//u/2638779231,ayhvdfjk,女,黑龙江,1683,297,346,@高高_SS,0,2021-06-18 23:12
https://weibo.cn//hanbing326,瞳离,男,广东,59,92,144,又蠢又坏,0,2021-06-18 21:54
https://weibo.cn//hanbing326,瞳离,男,广东,59,92,144,又蠢又坏,0,2021-06-18 21:41
https://weibo.cn//u/5042511852,Dorthey-,女,广东,1984,256,104,回复@我是你小姑妈2017:老婆也确诊了,0,2021-06-18 21:01
https://weibo.cn//u/2781397020,教学农民工,男,广东,526,363,50,这人隔离他让他自生自灭吧,0,2021-06-18 20:48
https://weibo.cn//u/7370899581,大华别这样,男,其他,401,642,1788,南沙那对夫妻呢,0,2021-06-18 20:18
https://weibo.cn//u/3282213231,复古穿搭电影,女,广东,460,259,13013,回复@啃鸡腿的猪:浪费社会资源！！！你这个以为比判刑十年轻？？？这是非法禁足。。,0,2021-06-18 19:43
https://weibo.cn//528821345,冷泡小青柑,女,其他,9158,387,2210,回复@叫啥名好捏cl:后来被立案侦查了，证明是瞒报,0,2021-06-18 19:12
https://weibo.cn//u/2527184037,Aaaammmyyy,女,其他,0,216,275,回复@可惜迣鎅不及你好:很多店铺不能正常营业，这些损失要找他,0,2021-06-18 19:10
https://weibo.cn//u/7213428397,西兰花酱酱_,女,广东,42,282,26,回复@蔡劲kivi:没必要 有些事情不能以偏概全,0,2021-06-18 19:04
https://weibo.cn//u/7033247983,明天还要喜欢我吗,女,其他,554,131,1193,@明天更加喜欢你,0,2021-06-18 19:04
https://weibo.cn//rockylfc,阿诺德_TAA,男,湖南,124,207,266,回复 ,0,2021-06-18 19:02
https://weibo.cn//u/6474851449,aaaaatheist,女,海外,451,731,1411,@三个小石仔,0,2021-06-18 19:00
https://weibo.cn//u/2084826873,浅笑o迷离,女,福建,148,305,34,一颗老鼠屎，真是可恶,0,2021-06-18 18:39
https://weibo.cn//u/6439794434,句点4833,男,其他,2,391,3,害死人啊，真想拍死他,0,2021-06-18 18:32
https://weibo.cn//u/1585540270,舍予因信成皿,女,浙江,1163,603,194,回复@风云雄霸天下69822:付款的是B 收货的是A 主图上写着日本代购  然后等被A诈骗完之后 B就来申请退款 说自己买的是星巴克礼品卡 但我店铺主要是卖明星周边和日本代购的,0,2021-06-18 18:15
https://weibo.cn//u/1585540270,舍予因信成皿,女,浙江,1163,603,194,回复@你是压抑了我青春的那个谁:都一年半了 现在更多的是气愤 蚍蜉撼大树的无力,0,2021-06-18 18:12
https://weibo.cn//u/6251599205,我是你小姑妈2017,男,其他,7,473,60,回复@宇宙柯学探险员:默默的想问问，祝某老婆没事吗，自己老公如何她不知道吗，听说两公婆到处叫人来吃饭打麻将，只抓祝某吗,0,2021-06-18 18:05
https://weibo.cn//u/6489818112,果然多星星,男,澳门,87,81,26,回复@斑目魚子:成日鸭咁,0,2021-06-18 17:28
https://weibo.cn//u/5223672171,风云雄霸天下69822,男,其他,166,105,7,回复@夜行书生陈森:一个新冠要20w治疗费，大数据要这么多吗,0,2021-06-18 16:44
