评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/3366711520,敷尔佳吖-,女,广东,1283,327,6006,感谢医护人员,1471,2021-06-26 16:02
https://weibo.cn//u/5052464311,X小雫雫,女,广东,2051,215,305,感谢全体医护人员还有志愿者，还有维持秩序的民警人员,1248,2021-06-26 16:03
https://weibo.cn//u/6238501501,终于有人告别三月天,女,广东,2004,114,107,我们广州超棒,544,2021-06-26 16:02
https://weibo.cn//u/5611259521,黄三天o,女,重庆,477,1621,159,回复@糖葱猫饼:广医也是，放暑假也封校,0,2021-07-01 18:52
https://weibo.cn//u/1109914623,最好的semilar,女,广东,194,353,96,投诉 我们线上预约排队疫苗之后 今早还是一大堆没有预约和预约的一起排了一公里的长对，这种排队有什么用？一大早顶着高温就这样？,0,2021-07-01 09:05
https://weibo.cn//u/5292940615,··日和··,女,其他,2747,89,103,挺好挺好,0,2021-06-30 15:46
https://weibo.cn//u/7216787389,扑啦扑啦好物,女,福建,654,192,19,哇哦～可以去那边旅游了，广州真的很不错啊，夜景很美啊，珠江夜游可以去玩一下，我上次在友艇上买的票玩了一个多小时，游船也很漂亮，古色古香的～拍了很多照片，体验感真不错，不知道感不感兴趣，可以去看看,0,2021-06-30 15:10
https://weibo.cn//570022042,与伊试新茶,女,江苏,669,186,29038,恭喜呀！     举报             赞[0]         回复             06月30日 00:09 来自网页,0,2021-06-30 00:09
https://weibo.cn//u/2836259400,单东东单,男,其他,182,185,135,回复@糖葱猫饼:广商,0,2021-06-29 16:09
https://weibo.cn//u/6126308462,小困葛格,女,广西,26237,984,340,工作人员辛苦了,0,2021-06-29 11:52
https://weibo.cn//u/2250060854,卷发子的圆球,女,其他,709,159,111,呜呜呜真好啊,1,2021-06-28 22:39
https://weibo.cn//u/2918841243,文刂又双木,女,浙江,523,648,281,恭喜！！广州绿了！！,0,2021-06-28 18:32
https://weibo.cn//u/2429476170,16个胡桃,女,广东,75,253,475,@Zanicc,0,2021-06-28 18:11
https://weibo.cn//llxivy,我咋不上天呀呀呀,女,海外,5521,1418,156,@Prozac-x,0,2021-06-28 17:47
https://weibo.cn//Venpor,一只调皮的胡,女,海南,93,171,544,希望大家平平安安🙏🙏,0,2021-06-28 15:35
https://weibo.cn//Venpor,一只调皮的胡,女,海南,93,171,544,感谢医护人员🙏🙏🙏,0,2021-06-28 15:35
https://weibo.cn//u/2147186430,CCCC坑,男,广东,2636,111,427,回复@糖葱猫饼:@广东药科大学  所以为什么封校呢？层层加码这么好玩？,0,2021-06-28 13:56
https://weibo.cn//lyflb,菌子丝丝,女,广东,2398,267,1132,广东人哭了,0,2021-06-28 12:19
https://weibo.cn//hongqiaomh,闵行虹桥,男,上海,42545,411,2867,【好消息！,0,2021-06-28 09:36
https://weibo.cn//u/7136766952,都明峻,男,海外,59,21,6539,回复@小小KKyeah:立刻喝咖啡去了,0,2021-06-28 07:48
https://weibo.cn//u/7634794020,生活不易狗勾叹气,女,广东,194,332,40,谢谢医护人员,0,2021-06-28 06:16
https://weibo.cn//diamondkx,汤圆是花生馅的,男,广东,4776,359,693,然而快递还是不发我们这🙃🙃🙃,0,2021-06-28 03:42
https://weibo.cn//wefans1998,WEFANS1998,男,北京,2164,2280,128,看来嚟广州饮茶有希望啦,0,2021-06-28 00:57
https://weibo.cn//u/5964081836,Annie铛铛铛,女,浙江,501,33,88,这是表示暑假可以去长隆了？,0,2021-06-28 00:29
https://weibo.cn//u/7528040076,辛德瑞拉与匹诺曹916,女,安徽,41,33,4,好消息,0,2021-06-28 00:23
https://weibo.cn//illusion16,KrH肖莹,女,其他,566,683,288,回复@入云鱼-何健:中国牛！,0,2021-06-28 00:04
https://weibo.cn//u/1038076455,胖达逐梦者,女,江西,3128,1096,276,@z圈圈ling,1,2021-06-28 00:01
https://weibo.cn//xueyun1994,然然的芒果汁,女,其他,151,408,11158,回复@VUVlUVU:好惨我就在宝安区正在核酸检测看到这条,0,2021-06-27 22:28
https://weibo.cn//u/6542210959,不吃盐宇宙公主,女,海外,404,384,21,啥时候出穗不离省可以不用做核酸检测啊,0,2021-06-27 22:16
https://weibo.cn//u/6378784609,小小KKyeah,女,海外,80,290,120, 真好,0,2021-06-27 21:58
https://weibo.cn//u/5700224376,我要_吃遍全世界,女,浙江,1800,263,295,太好了，下个月可以回家了,1,2021-06-27 21:53
https://weibo.cn//u/7365592222,梦坠入月里,女,河北,770,197,4,超级棒呀，谢谢医护人员！     举报             赞[0]         回复             06月27日 21:27 来自网页,0,2021-06-27 21:27
